date,count,uniques
2026-07-11,6,3
2026-07-12,5,4
2026-07-13,9,6
2026-07-14,10,7
2026-07-15,6,4
2026-07-16,4,3
2026-07-17,7,4
2026-07-18,0,0
2026-07-19,5,2
2026-07-20,10,7
2026-07-21,13,6
2026-07-22,10,5
2026-07-23,7,6
2026-07-24,2,2
2026-07-25,18,12
2026-07-26,27,18
2026-07-27,11,8
2026-07-28,5,4
2026-07-29,23,13
2026-07-30,19,8
2026-07-31,12,8
2026-08-01,8,6
2026-08-02,15,8
2026-08-03,17,6
2026-08-04,15,8
2026-08-05,21,11
2026-08-06,17,8
2026-08-07,10,5
2026-08-08,18,13
2026-08-09,4,4
2026-08-10,12,8
2026-08-11,25,13
2026-08-12,11,9
2026-08-13,15,9
2026-08-14,13,9
2026-08-15,11,9
2026-08-16,9,6
2026-08-17,10,8
2026-08-18,14,8
2026-08-19,15,9
2026-08-20,14,9
2026-08-21,20,12
2026-08-22,22,14
2026-08-23,10,9
2026-08-24,20,14
2026-08-25,28,14
2026-08-26,37,19
2026-08-27,15,8
2026-08-28,5,5
2026-08-29,13,7
2026-08-30,11,8
2026-08-31,12,7
2026-09-01,13,10
2026-09-02,15,10
2026-09-03,8,7
2026-09-04,44,22
2026-09-05,10,9
2026-09-06,12,8
2026-09-07,17,8
2026-09-08,30,15
2026-09-09,19,8
2026-09-10,19,10
2026-09-11,14,9
