date,count,uniques
2026-07-11,15,6
2026-07-12,80,15
2026-07-13,35,15
2026-07-14,27,8
2026-07-15,39,7
2026-07-16,6,4
2026-07-17,20,7
2026-07-18,29,6
2026-07-19,11,4
2026-07-20,24,9
2026-07-21,15,4
2026-07-22,17,8
2026-07-23,50,6
2026-07-24,16,3
2026-07-25,81,6
2026-07-26,23,5
2026-07-27,21,3
2026-07-28,37,13
2026-07-29,21,7
2026-07-30,64,6
2026-07-31,18,5
2026-08-01,10,3
2026-08-02,13,2
2026-08-03,39,4
2026-08-04,4,3
2026-08-05,11,3
2026-08-06,3,3
2026-08-07,22,6
2026-08-08,6,3
2026-08-09,6,4
2026-08-10,12,4
2026-08-11,6,4
2026-08-12,13,8
2026-08-13,14,5
2026-08-14,25,3
2026-08-15,6,1
2026-08-16,4,3
2026-08-17,17,10
2026-08-18,18,9
2026-08-19,4,4
2026-08-20,7,5
2026-08-21,5,2
2026-08-22,47,27
2026-08-23,15,11
2026-08-24,17,12
2026-08-25,27,13
2026-08-26,11,10
2026-08-27,16,9
2026-08-28,8,2
2026-08-29,2,1
2026-08-30,3,3
2026-08-31,12,5
2026-09-01,2,2
2026-09-02,3,3
2026-09-03,2,2
2026-09-04,12,7
2026-09-05,6,3
2026-09-06,16,4
2026-09-07,10,5
2026-09-08,10,3
2026-09-09,8,5
2026-09-10,7,4
2026-09-11,10,3
2026-09-12,0,0
